Rubriques,N,N-1
Flux de tresorerie lies aux activites operationnelles,0,0
Encaissements recus des clients,0,0
Sommes versees aux fournisseurs et au personnel,0,0
Interets et autres frais financiers payes,0,0
Flux de tresorerie avant elements extraordinaires,0,0
Flux de tresorerie lie a des evenements extraordinaire (a preciser),0,0
Flux de tresorerie net provenant des activites operationnelle (A),0,0
Flux de tresorerie lies aux activites d'investissement,0,0
Decaissemnet sur acquisition d'immobilisations corporelles ou icorporelles,0,0
Encaissements sur cessions d'immobilisations corporelles ou incorporelles,0,0
Decaissements sur acquisition d'immobilisations financieres,0,0
Encaissements sur cession d'immobilisations financieres,0,0
Interets encaisses sur placements financieres,0,0
Dividendes et quote-part de resultats recus,0,0
Flux de tresorerie net provenant des activites d'investissement (B),0,0
Flux de trésorerie lies aux activites de financement,0,0
Encaissements suite a l'emission d'actions,0,0
Dividendes et autres distributions effectues,0,0
Encaissements provenant d'emprunts,0,0
Remboursement d'emprunts ou d'autres dettes assimiles,0,0
Flux de tresorerie net provenant des activites de financement (C),0,0
Incidences des variations des taux de change sur liquidites et quasi-lilquidites,0,0
Variation de tresorerie de la periode (A+B+C),0,0
,,
Tresorerie et equivalents de tresorerie a l'ouverture de l'exercice,0,0
Tresorerie et equivalents de tresorerie a la cloture de l'exercice,0,0
Variation de tresorerie de la periode,0,0
Rapprochement avec le resultat comptable,0,0
